State,One_Month_Cases,One_month_fatality_rate,Total_Deaths,Positive_Test_Rate,HDI,Rank_health,Gross_State_Product,Mobility,doses_per_hundred,assess_to_vaccines_per_hundred,HospitalBeds,lockdown_severity,respiratory_mortality_rate,respiratory_infections_rate,obesity_prevalence,Score,Rank
Alabama,98413,0.372,7688,0.215,0.877,46,251.8,-81.48,8.8,11.08,1.461,175,0.722 ,0.368 ,0.335,0.29,50
Alaska,7365,0.214,262,0.036,0.937,25,58.8,-82.11,15.86,22.18,0.783,294,0.521 ,0.180 ,0.301,0.64,1
Arizona,238197,0.324,13120,0.219,0.908,23,402.9,-88.23,10.27,12.94,0.735,255,0.516 ,0.192 ,0.276,0.43,32
Arkansas,70130,0.245,4868,0.121,0.877,49,144.6,-69.45,10.5,14.27,1.575,260,0.680 ,0.378 ,0.356,0.36,48
California,998665,0.365,40928,0.079,0.93,7,3436.7,-130.8,10.4,13,1.107,364,0.433 ,0.216 ,0.239,0.45,31
Colorado,62088,0.146,5640,0.073,0.942,12,428.8,-107.4,9.92,14.15,1.896,307,0.592 ,0.230 ,0.216,0.57,7
Connecticut,64315,0.149,7046,0.044,0.953,3,309.8,-93.66,12.26,16.84,0.997,386,0.433 ,0.279 ,0.261,0.6,3
Delaware,246,0.15,1090,0.001,0.93,15,81.1,-101,10.86,13.7,0.896,344,0.520 ,0.272 ,0.323,0.53,17
Florida,398062,0.182,26479,0.09,0.909,29,1203.7,-97.87,9.86,13.77,1.384,201,0.481 ,0.174 ,0.265,0.5,22
Georgia,242993,0.23,14198,0.141,0.902,39,671.5,-93.41,9.11,11.99,1.423,269,0.620 ,0.354 ,0.301,0.37,46
Hawaii,4327,0.296,409,0.026,0.94,1,105.6,-198.17,10.64,14.17,0.764,403,0.283 ,0.295 ,0.183,0.54,14
Idaho,21606,0.168,1725,0.27,0.907,26,88.9,-36.54,8.94,11.98,0.995,192,0.587 ,0.208 ,0.284,0.47,29
Illinois,162912,0.154,21253,0.07,0.929,22,973.8,-118.78,9.82,12.66,1.493,269,0.500 ,0.306 ,0.309,0.47,28
Indiana,115197,0.169,11296,0.089,0.906,40,406.1,-76.81,9.46,12.36,1.032,229,0.685 ,0.292 ,0.339,0.42,35
Iowa,37696,0.206,4901,0.255,0.928,20,209.5,-85,8.96,12.28,2.727,217,0.568 ,0.247 ,0.353,0.46,30
Kansas,51744,0.274,3767,0.237,0.922,33,186.6,-86.95,8.55,11.43,5.272,261,0.626 ,0.293 ,0.337,0.43,33
Kentucky,97620,0.3,3745,0.101,0.881,44,231.9,-97.27,10.17,13.61,1.642,6,0.766 ,0.360 ,0.358,0.39,44
Louisiana,85351,0.155,8859,0.08,0.885,45,283.5,-102.06,9.64,13.75,1.277,276,0.582 ,0.368 ,0.33,0.39,43
Maine,15123,0.412,590,0.029,0.914,19,73.6,-77.69,10.55,14.38,1.368,229,0.612 ,0.236 ,0.304,0.49,23
Maryland,77811,0.173,7127,0.051,0.935,8,465.5,-116.58,9.32,12.33,1.043,307,0.424 ,0.315 ,0.289,0.51,19
Massachusetts,148847,0.148,14577,0.038,0.956,2,651.8,-127.79,10.38,13.42,0.862,292,0.441 ,0.292 ,0.258,0.56,10
Michigan,81517,0.161,15525,0.065,0.912,24,582.9,-96.54,9.99,14.14,1.067,263,0.559 ,0.249 ,0.328,0.48,25
